0.00E+00	0.003688	-0.092392
5.00E-05	0.003696	-0.092081
1.00E-04	0.003704	-0.092503
0.03265		-0.00337	-0.067457
0.0327		-0.003378	-0.067528
0.03275		-0.003388	-0.067369
0.0328		-0.003379	-0.067543
0.03285		-0.003368	-0.067269
0.0329		-0.003385	-0.067586
0.03295		-0.003372	-0.067129
0.033		-0.003322	-0.072029
0.03305		-0.002753	-0.076392
0.0331		-0.002347	-0.076587
0.03315		-0.002411	-0.076933
0.0332		-0.002328	-0.076784
0.03325		-0.002332	-0.076838
0.0333		-0.002376	-0.076769
0.03335		-0.002395	-0.07676
0.0334		-0.002396	-0.076838
0.03345		-0.002409	-0.07673
0.0335		-0.002402	-0.076871
0.03355		-0.00245	-0.076542
0.0336		-0.002406	-0.07709
0.03365		-0.002427	-0.073889
0.0337		-0.002125	-0.068123
0.03375		-0.001435	-0.067487
0.0338		-0.001323	-0.0671
0.03385		-0.001342	-0.067314
0.0339		-0.00136	-0.067143
0.03395		-0.001375	-0.067346
0.034		-0.001389	-0.067217
0.03405		-0.001354	-0.067198
0.0341		-0.001319	-0.067136
0.03415		-0.001326	-0.067154
0.0342		-0.001252	-0.06717
0.03425		-0.00128	-0.067125
0.0343		-0.001285	-0.067114
0.03435		-0.001492	-0.065128
0.0344		-0.002259	-0.063943
0.03445		-0.00231	-0.063953
0.0345		-0.002362	-0.063897
0.03455		-0.00231	-0.063798
0.0346		-0.002346	-0.063846
0.03465		-0.0023	-0.063798
0.0347		-0.002379	-0.063892
0.03475		-0.002306	-0.063698
0.0348		-0.002359	-0.063872
0.03485		-0.002355	-0.063706
0.0349		-0.002398	-0.063999
0.03495		-0.002403	-0.06388
0.035		-0.002387	-0.075233
0.03505		-0.002354	-0.082113
0.0351		-0.002329	-0.082274
0.03515		-0.002389	-0.082815
0.0352		-0.002328	-0.082485
0.03525		-0.002379	-0.082648
0.0353		-0.002303	-0.082533
0.03535		-0.002387	-0.082551
0.0354		-0.002336	-0.082641
0.03545		-0.002384	-0.082616
0.0355		-0.002368	-0.082644
0.03555		-0.002413	-0.082442
0.0356		-0.002233	-0.08284
0.03565		-0.002409	-0.080534
0.0357		-0.001157	-0.07683
0.03575		0.000409	-0.076457
0.0358		0.000574	-0.076255
0.03585		0.00068	-0.076283
0.0359		0.000584	-0.076248
0.03595		0.000581	-0.076192
0.036		0.00058	-0.076218
0.03605		0.000558	-0.076133
0.0361		0.000592	-0.076253
0.03615		0.000494	-0.076039
0.0362		0.000627	-0.076447
0.03625		0.000587	-0.075697
0.0363		0.00069	-0.079099
0.03635		-1.92E-05	-0.090023
0.0364		-0.002649	-0.092229
0.03645		-0.003259	-0.092765
0.0365		-0.003394	-0.092727
