0.00E+00	-0.015291	0.249076
5.00E-05	-0.013841	0.249427
1.00E-04	-0.013606	0.249006
0.0389		0.003659	-0.278415
0.03895		0.003579	-0.278564
0.039		0.003656	-0.278513
0.03905		0.003525	-0.284866
0.0391		0.003719	-0.28848
0.03915		0.003519	-0.28861
0.0392		0.004919	-0.288888
0.03925		0.007507	-0.288731
0.0393		0.00775	-0.288764
0.03935		0.007896	-0.288662
0.0394		0.007846	-0.288665
0.03945		0.007888	-0.288636
0.0395		0.007864	-0.288566
0.03955		0.007918	-0.288532
0.0396		0.00787	-0.288377
0.03965		0.007907	-0.288632
0.0397		0.007905	-0.286921
0.03975		0.007902	-0.283641
0.0398		0.00787	-0.283218
0.03985		0.007938	-0.282925
0.0399		0.007853	-0.282988
0.03995		0.007884	-0.282906
0.04		0.007894	-0.282926
0.04005		0.007861	-0.28284
0.0401		0.00784	-0.282754
0.04015		0.007868	-0.282802
0.0402		0.007899	-0.282696
0.04025		0.007913	-0.282726
0.0403		0.007944	-0.282637
0.04035		0.007917	-0.28196
0.0404		0.007877	-0.269878
0.04045		0.007905	-0.264042
0.0405		0.007816	-0.263849
0.04055		0.008326	-0.263359
0.0406		0.008874	-0.263458
0.04065		0.008882	-0.263305
0.0407		0.00892	-0.263322
0.04075		0.008838	-0.263222
0.0408		0.008826	-0.263214
0.04085		0.008862	-0.263159
0.0409		0.008944	-0.263024
0.04095		0.008853	-0.263151
0.041		0.00889	-0.263007
0.04105		0.00889	-0.270317
0.0411		0.008893	-0.27524
0.04115		0.008846	-0.275241
0.0412		0.00927	-0.275687
0.04125		0.009817	-0.275386
0.0413		0.009858	-0.275641
0.04135		0.009908	-0.275281
0.0414		0.009879	-0.275519
0.04145		0.009931	-0.275211
0.0415		0.009906	-0.27538
0.04155		0.009891	-0.275105
0.0416		0.009851	-0.275338
0.04165		0.009935	-0.274997
0.0417		0.009768	-0.276375
0.04175		0.009943	-0.277905
0.0418		0.009695	-0.278161
0.04185		0.010666	-0.278175
0.0419		0.01348	-0.278246
0.04195		0.014046	-0.277925
0.042		0.014215	-0.278215
0.04205		0.014142	-0.27781
0.0421		0.014153	-0.278223
0.04215		0.014112	-0.277568
0.0422		0.014141	-0.278297
0.04225		0.014152	-0.277122
0.0423		0.01412	-0.279084
0.04235		0.014076	-0.269826
0.0424		0.014072	-0.239256
0.04245		0.014093	-0.23275
0.0425		0.014076	-0.231247
0.04255		0.013357	-0.231293
0.0426		0.013047	-0.230924
0.04265		0.012943	-0.231142
0.0427		0.012984	-0.230931
0.04275		0.012993	-0.230961
0.0428		0.012951	-0.230898
