0.00E+00	0.000684	0.001445
0.0282		-0.000387	0.025362
0.02825		-0.001097	0.025524
0.0283		-0.001309	0.023278
0.02835		-0.001334	0.021312
0.0284		-0.001286	0.021377
0.02845		-0.001302	0.021202
0.0285		-0.0013	0.021264
0.02855		-0.001338	0.02102
0.0286		-0.001283	0.021207
0.02865		-0.001293	0.020998
0.0287		-0.001328	0.02134
0.02875		-0.001346	0.020958
0.0288		-0.001334	0.02136
0.02885		-0.00132	0.020783
0.0289		-0.001265	0.021848
0.02895		-0.001275	0.016056
0.029		-0.001276	0.005729
0.02905		-0.001285	0.004842
0.0291		-0.001311	0.004009
0.02915		-0.001287	0.004476
0.0292		-0.001322	0.003928
0.02925		-0.001279	0.004465
0.0293		-0.001287	0.003998
0.02935		-0.001328	0.004429
0.0294		-0.001323	0.003841
0.02945		-0.001374	0.004517
0.0295		-0.001294	0.003677
0.02955		-0.00183	0.004706
0.0296		-0.002267	0.004203
0.02965		-0.002314	0.036393
0.0297		-0.002409	0.056125
0.02975		-0.002363	0.056544
0.0298		-0.002396	0.058173
0.02985		-0.002377	0.057482
0.0299		-0.002352	0.058043
0.02995		-0.002374	0.057571
0.03		-0.002336	0.057937
0.03005		-0.002379	0.057688
0.0301		-0.002324	0.057806
0.03015		-0.0024	0.057795
0.0302		-0.002069	0.057644
0.03025		-0.001448	0.057533
0.0303		-0.001341	0.041375
0.03035		-0.00132	0.031259
0.0304		-0.001328	0.031309
0.03045		-0.0013	0.030172
0.0305		-0.001346	0.030859
0.03055		-0.001324	0.030268
0.0306		-0.001342	0.030762
0.03065		-0.001315	0.030223
0.0307		-0.001313	0.030819
0.03075		-0.001269	0.030128
0.0308		-0.001337	0.030782
0.03085		-0.001168	0.029908
0.0309		-0.000546	0.031436
0.03095		-0.00035	0.024271
0.031		-0.00027	0.010608
0.03105		-0.000297	0.009045
0.0311		-0.000296	0.008112
0.03115		-0.000329	0.008445
0.0312		-0.000358	0.008101
0.03125		-0.000296	0.00836
0.0313		-0.000356	0.008173
0.03135		-0.000361	0.008283
0.0314		-0.000376	0.008135
0.03145		-0.000374	0.008331
0.0315		-0.00027	0.008051
0.03155		0.00027	0.008402
0.0316		0.000559	0.006772
0.03165		0.000557	-0.003677
0.0317		0.000561	-0.00709
0.03175		0.000569	-0.007312
0.0318		0.000557	-0.007525
0.03185		0.000539	-0.007488
0.0319		0.00065	-0.007552
0.03195		0.000592	-0.007515
0.032		0.000606	-0.007536
0.03205		0.000546	-0.007543
0.0321		0.000568	-0.007581
0.03215		0.000547	-0.007621
0.0322		0.000602	-0.007517
0.03225		0.000605	-0.007423
0.0323		0.000655	-0.003434
0.03235		0.000651	-0.001472
0.0324		0.000666	-0.001412
0.03245		0.000629	-0.001298
0.0325		0.00058	-0.001311
0.03255		0.00057	-0.001271
0.0326		0.000595	-0.001248
0.03265		0.000546	-0.001319
0.0327		0.000577	-0.001149
0.03275		0.000563	-0.001402
0.0328		0.00065	-0.001034
0.03285		0.000117	-0.001481
0.0329		-0.001093	-0.000913
0.03295		-0.001209	-0.010773
0.033		-0.001408	-0.018503
0.03305		-0.001368	-0.018532
0.0331		-0.001353	-0.019261
0.03315		-0.001327	-0.018869
0.0332		-0.001328	-0.01926
0.03325		-0.001357	-0.01894
0.0333		-0.001305	-0.019182
0.03335		-0.001337	-0.018912
0.0334		-0.001337	-0.019169
0.03345		-0.001397	-0.018927
0.0335		-0.001186	-0.019241
0.03355		-0.000507	-0.018755
0.0336		-0.00031	-0.020738
0.03365		-0.000308	-0.026151
0.0337		-0.000265	-0.027199
0.03375		-0.000293	-0.027511
0.0338		-0.000263	-0.027473
0.03385		-0.000277	-0.027444
0.0339		-0.000347	-0.027377
0.03395		-0.000311	-0.027461
0.034		-0.00027	-0.027415
0.03405		-0.00028	-0.027447
0.0341		-0.000277	-0.027424
0.03415		-0.000295	-0.027473
0.0342		-0.000262	-0.027304
0.03425		-0.000258	-0.028141
0.0343		-0.000254	-0.032961
0.03435		-0.000336	-0.034521
0.0344		-0.000302	-0.034761
0.03445		-0.000245	-0.034615
0.0345		-0.000333	-0.034726
0.03455		-0.000306	-0.034683
0.0346		-0.000236	-0.034779
0.03465		-0.000325	-0.0346
0.0347		-0.000252	-0.034772
0.03475		-0.000366	-0.03462
0.0348		-0.000166	-0.034839
0.03485		-0.001117	-0.034458
0.0349		-0.002207	-0.034901
0.03495		-0.002267	-0.02591
0.035		-0.002315	-0.019485
0.03505		-0.002337	-0.019345
0.0351		-0.002411	-0.018797
0.03515		-0.002433	-0.019105
0.0352		-0.00242	-0.018876
0.03525		-0.002432	-0.018946
0.0353		-0.002421	-0.018965
0.03535		-0.002398	-0.018905
0.0354		-0.002318	-0.01895
0.03545		-0.002422	-0.018823
0.0355		-0.001885	-0.019047
0.03555		9.46E-05	-0.018629
0.0356		0.000441	-0.021316
0.03565		0.00057	-0.025662
0.0357		0.000531	-0.026031
0.03575		0.00055	-0.026345
0.0358		0.000504	-0.026256
0.03585		0.000547	-0.026357
0.0359		0.000568	-0.026358
0.03595		0.00061	-0.026324
0.036		0.000596	-0.026357
0.03605		0.000646	-0.026238
0.0361		0.000607	-0.026323
0.03615		0.00054	-0.026162
0.0362		-6.03E-05	-0.026559
0.03625		-0.000223	-0.024275
0.0363		-0.000276	-0.019634
0.03635		-0.000288	-0.019135
0.0364		-0.000302	-0.018764
0.03645		-0.000237	-0.018875
0.0365		-0.00025	-0.018751
0.03655		-0.000266	-0.018849
0.0366		-0.000326	-0.018765
0.03665		-0.000236	-0.018839
0.0367		-0.000313	-0.018824
0.03675		-0.00021	-0.018855
0.0368		-0.000419	-0.018899
0.03685		0.00078	-0.018897
0.0369		0.002494	-0.018886
0.03695		0.002655	-0.018297
0.037		0.002709	-0.017825
0.03705		0.002646	-0.017825
0.0371		0.00269	-0.017797
0.03715		0.002658	-0.017822
0.0372		0.002676	-0.017844
0.03725		0.002677	-0.017831
0.0373		0.002684	-0.017757
0.03735		0.002649	-0.017862
0.0374		0.002602	-0.017746
0.03745		0.002743	-0.017855
0.0375		0.002092	-0.017639
0.03755		0.000813	-0.017896
0.0376		0.000635	-0.015763
0.03765		0.000583	-0.013639
0.0377		0.000577	-0.01365
0.03775		0.000584	-0.013491
0.0378		0.000616	-0.013634
0.03785		0.000574	-0.013449
0.0379		0.000648	-0.013547
0.03795		0.000605	-0.013346
0.038		0.000647	-0.013506
0.03805		0.000596	-0.013349
0.0381		0.000602	-0.013662
0.03815		0.000569	-0.01327
0.0382		0.000625	-0.013863
0.03825		0.000625	-0.011167
0.0383		0.000627	-0.005225
0.03835		0.000614	-0.004296
0.0384		0.000611	-0.003995
0.03845		0.00055	-0.004107
0.0385		0.000574	-0.004048
0.03855		0.000605	-0.004058
0.0386		0.000618	-0.004095
0.03865		0.000644	-0.003962
0.0387		0.000637	-0.004094
0.03875		0.000581	-0.003858
0.0388		0.000648	-0.004268
0.03885		0.00062	-0.003455
0.0389		0.000635	-0.006994
0.03895		0.000589	-0.02095
0.039		0.000614	-0.024336
0.03905		0.000631	-0.024935
0.0391		0.000631	-0.024903
0.03915		0.000628	-0.025092
0.0392		0.00064	-0.025083
0.03925		0.00064	-0.025063
0.0393		0.000592	-0.025052
0.03935		0.000627	-0.025103
0.0394		0.000621	-0.025048
0.03945		0.000546	-0.025025
0.0395		0.000884	-0.02496
0.03955		0.001541	-0.025216
0.0396		0.001564	-0.02351
0.03965		0.00164	-0.022048
0.0397		0.001618	-0.022021
0.03975		0.001627	-0.021833
0.0398		0.00162	-0.021928
0.03985		0.001652	-0.021737
0.0399		0.00164	-0.021897
0.03995		0.001666	-0.021797
0.04		0.001605	-0.021891
0.04005		0.001646	-0.021775
0.0401		0.001635	-0.021933
0.04015		0.001618	-0.021773
0.0402		0.001586	-0.021976
0.04025		0.001594	-0.020625
0.0403		0.001612	-0.018836
0.04035		0.001597	-0.018757
0.0404		0.001645	-0.01858
0.04045		0.001611	-0.01871
0.0405		0.001593	-0.018636
0.04055		0.001614	-0.018694
0.0406		0.001615	-0.018574
0.04065		0.001598	-0.01865
0.0407		0.001578	-0.01854
0.04075		0.001611	-0.018738
0.0408		0.001641	-0.018496
0.04085		0.002281	-0.018908
0.0409		0.002679	-0.017241
0.04095		0.002668	-0.012426
0.041		0.002743	-0.01148
0.04105		0.002699	-0.011204
0.0411		0.002669	-0.011217
0.04115		0.002713	-0.011196
0.0412		0.002655	-0.011224
0.04125		0.002703	-0.011221
0.0413		0.002655	-0.011198
0.04135		0.002658	-0.011235
0.0414		0.002617	-0.011199
0.04145		0.002756	-0.011247
0.0415		0.001723	-0.011251
0.04155		0.000694	-0.010937
0.0416		0.000668	-0.004942
0.04165		0.000536	-0.002017
0.0417		0.000583	-0.001897
0.04175		0.000566	-0.001737
0.0418		0.000568	-0.001696
0.04185		0.000557	-0.001799
0.0419		0.000585	-0.00184
0.04195		0.000535	-0.001837
0.042		0.00064	-0.001701
0.04205		0.000548	-0.001775
0.0421		0.000661	-0.001686
0.04215		-4.39E-05	-0.001922
0.0422		-0.001145	-0.001575
0.04225		-0.001308	-0.007517
0.0423		-0.001349	-0.011887
0.04235		-0.001306	-0.011895
0.0424		-0.0014	-0.012198
0.04245		-0.001365	-0.01217
0.0425		-0.001374	-0.012212
0.04255		-0.001398	-0.012201
0.0426		-0.001317	-0.012197
0.04265		-0.001356	-0.012202
0.0427		-0.001339	-0.0121
0.04275		-0.001442	-0.012305
0.0428		-0.000906	-0.01195
0.04285		0.002417	-0.012656
0.0429		0.003537	-0.008485
0.04295		0.003703	-0.001631
0.043		0.003674	-0.001045
0.04305		0.003626	-0.00058
0.0431		0.003633	-0.000842
0.04315		0.003689	-0.000624
0.0432		0.00374	-0.000744
